Code 	Name 	Capital/Administrative centre[a] 	Type 	Federal district 	Economic region 	Area (km2)[16] 	Population [17] 
1	Adygey	Maykop 	republic 	Southern 	North Caucasus 	7600	447109
2	Bashkortostan	Ufa 	republic 	Volga 	Ural 	143600	4104336
3	Buryat	Ulan-Ude 	republic 	Far Eastern 	East Siberian 	351300	981238
4	Gorno-Altay	Gorno-Altaysk 	republic 	Siberian 	West Siberian 	92600	202947
5	Dagestan	Makhachkala 	republic 	North Caucasian 	North Caucasus 	50300	2576531
6	Ingush	Magas (Largest city: Nazran) 	republic 	North Caucasian 	North Caucasus 	4000	467294
7	Kabardin-Balkar	Nalchik 	republic 	North Caucasian 	North Caucasus 	12500	901494
8	Kalmyk	Elista 	republic 	Southern 	Volga 	76100	292410
9	Karachay-Cherkess	Cherkessk 	republic 	North Caucasian 	North Caucasus 	14100	439470
10	Karelia	Petrozavodsk 	republic 	Northwestern 	Northern 	172400	716281
11	Komi	Syktyvkar 	republic 	Northwestern 	Northern 	415900	1018674
12	Mariy-El	Yoshkar-Ola 	republic 	Volga 	Volga-Vyatka 	23200	727979
13	Mordovia	Saransk 	republic 	Volga 	Volga-Vyatka 	26200	888766
14	Sakha (Yakutia)	Yakutsk 	republic 	Far Eastern 	Far Eastern 	3103200	949280
15	North Ossetia	Vladikavkaz 	republic 	North Caucasian 	North Caucasus 	8000	710275
16	Tatarstan	Kazan 	republic 	Volga 	Volga 	68000	3779265
17	Tuva	Kyzyl 	republic 	Siberian 	East Siberian 	170500	305510
18	Udmurt	Izhevsk 	republic 	Volga 	Ural 	42100	1570316
19	Khakass	Abakan 	republic 	Siberian 	East Siberian 	61900	546072
20	Chechnya	Grozny 	republic 	North Caucasian 	North Caucasus 	15300	1103686
21	Chuvash	Cheboksary 	republic 	Volga 	Volga-Vyatka 	18300	1313754
22	Altay	Barnaul 	krai 	Siberian 	West Siberian 	169100	2607426
23	Krasnodar	Krasnodar 	krai 	Southern 	North Caucasus 	76000	5125221
24	Krasnoyarsk	Krasnoyarsk 	krai 	Siberian 	East Siberian 	2339700	2966042
25	Primorsky	Vladivostok 	krai 	Far Eastern 	Far Eastern 	165900	2071210
26	Stavropol	Stavropol 	krai 	North Caucasian 	North Caucasus 	66500	2735139
27	Khabarovsk	Khabarovsk 	krai 	Far Eastern 	Far Eastern 	788600	1436570
28	Amur	Blagoveshchensk 	oblast 	Far Eastern 	Far Eastern 	363700	902844
29	Arkhangelsk	Arkhangelsk 	oblast 	Northwestern 	Northern 	587400	1336539
30	Astrakhan	Astrakhan 	oblast 	Southern 	Volga 	44100	1005276
31	Belgorod	Belgorod 	oblast 	Central 	Central Black Earth 	27100	1511620
32	Bryansk	Bryansk 	oblast 	Central 	Central 	34900	1378941
33	Vladimir	Vladimir 	oblast 	Central 	Central 	29000	1523990
34	Volgograd	Volgograd 	oblast 	Southern 	Volga 	113900	2699223
35	Vologda	Vologda (Largest city: Cherepovets) 	oblast 	Northwestern 	Northern 	145700	1269568
36	Voronezh	Voronezh 	oblast 	Central 	Central Black Earth 	52400	2378803
37	Ivanovo	Ivanovo 	oblast 	Central 	Central 	21800	1148329
38	Irkutsk	Irkutsk 	oblast 	Siberian 	East Siberian 	767900	2581705
39	Kaliningrad	Kaliningrad 	oblast 	Northwestern 	Kaliningrad 	15100	955281
40	Kaluga	Kaluga 	oblast 	Central 	Central 	29900	1041641
41	Kamchatka	Petropavlovsk-Kamchatsky 	krai 	Far Eastern 	Far Eastern 	472300	358801
42	Kemerovo	Kemerovo 	oblast 	Siberian 	West Siberian 	95500	2899142
43	Kirov	Kirov 	oblast 	Volga 	Volga-Vyatka 	120800	1503529
44	Kostroma	Kostroma 	oblast 	Central 	Central 	60100	736641
45	Kurgan	Kurgan 	oblast 	Ural 	Ural 	71000	1019532
46	Kursk	Kursk 	oblast 	Central 	Central Black Earth 	29800	1235091
47	Leningrad	Largest city: Gatchina[b] 	oblast 	Northwestern 	Northwestern 	84500	1669205
48	Lipetsk	Lipetsk 	oblast 	Central 	Central Black Earth 	24100	1213499
49	Maga Buryatdan	Magadan 	oblast 	Far Eastern 	Far Eastern 	461400	182726
50	Moskovsskaya	Largest city: Balashikha[c] 	oblast 	Central 	Central 	44,300[18] 	6618538
51	Murmansk	Murmansk 	oblast 	Northwestern 	Northern 	144900	892534
52	Nizhny Novgorod	Nizhny Novgorod 	oblast 	Volga 	Volga-Vyatka 	76900	3524028
53	Novgorod	Veliky Novgorod 	oblast 	Northwestern 	Northwestern 	55300	694355
54	Novosibirsk	Novosibirsk 	oblast 	Siberian 	West Siberian 	178200	2692251
55	Omsk	Omsk 	oblast 	Siberian 	West Siberian 	139700	2079220
56	Orenburg	Orenburg 	oblast 	Volga 	Ural 	124000	2179551
57	Orel	Oryol 	oblast 	Central 	Central 	24700	860262
58	Penza	Penza 	oblast 	Volga 	Volga 	43200	1452941
59	Perm	Perm 	krai 	Volga 	Ural 	160600	2819421
60	Pskov	Pskov 	oblast 	Northwestern 	Northwestern 	55300	760810
61	Rostov	Rostov-on-Don 	oblast 	Southern 	North Caucasus 	100800	4404013
62	Ryazan	Ryazan 	oblast 	Central 	Central 	39600	1227910
63	Samara	Samara 	oblast 	Volga 	Volga 	53600	3239737
64	Saratov	Saratov 	oblast 	Volga 	Volga 	100200	2668310
65	Sakhalin	Yuzhno-Sakhalinsk 	oblast 	Far Eastern 	Far Eastern 	87100	546695
66	Sverdlovsk	Yekaterinburg 	oblast 	Ural 	Ural 	194800	4486214
67	Smolensk	Smolensk 	oblast 	Central 	Central 	49800	1049574
68	Tambov	Tambov 	oblast 	Central 	Central Black Earth 	34300	1178443
69	Tver	Tver 	oblast 	Central 	Central 	84100	1471459
70	Tomsk	Tomsk 	oblast 	Siberian 	West Siberian 	316900	1046039
71	Tula	Tula 	oblast 	Central 	Central 	25700	1675758
72	Tyumen	Tyumen 	oblast 	Ural 	West Siberian 	143520	3264841
73	Ulyanovsk	Ulyanovsk 	oblast 	Volga 	Volga 	37300	1382811
74	Chelyabinsk	Chelyabinsk 	oblast 	Ural 	Ural 	87900	3603339
75	Zabaykalsky	Chita 	krai 	Far Eastern 	East Siberian 	431500	1155346
76	Yaroslavl	Yaroslavl 	oblast 	Central 	Central 	36400	1367398
77	Moskva	— 	federal city 	Central 	Central 	2511	10382754
78	Saint Petersburg	— 	federal city 	Northwestern 	Northwestern 	1439	4662547
79	Yevrey	Birobidzhan 	autonomous oblast 	Far Eastern 	Far Eastern 	36000	190915
83	Nenets	Naryan-Mar 	autonomous okrug 	Northwestern 	Northern 	176700	41546
86	Khanty-Mansiy	Khanty-Mansiysk (Largest city: Surgut) 	autonomous okrug 	Ural 	West Siberian 	523100	1432817
87	Chukotka	Anadyr 	autonomous okrug 	Far Eastern 	Far Eastern 	737700	53824
89	Yamal-Nenets	Salekhard (Largest city: Noyabrsk) 	autonomous okrug 	Ural 	West Siberian 	750300	507006
91	Republic of Crimea	Simferopol 	republic 	Southern[19][20] 	North Caucasus 	26,964[21] 	1966801
92	Sevastopol	— 	federal city 	Southern[19][20] 	North Caucasus 	864[23] 	379200
